school,year,field,ours_displayed,master_final,master_raw_reported,category,master_flag
Boston College,2016,nr,50770,50700,,GENUINE,missing
Cornell University,2019,res,65541,67748,,GENUINE,
Cornell University,2019,nr,65541,67748,,GENUINE,
Denver,2012,nr,39840,39480,,GENUINE,missing
Florida Coastal School of Law,2020,res,79580,19895,,GENUINE,yoy_-50%
Florida Coastal School of Law,2020,nr,79580,19895,,GENUINE,yoy_-50%
Florida State University,2019,nr,36144,9036,,GENUINE,yoy_-56%
Indiana University-Indianapolis,2017,res,26736,28631,,GENUINE,missing
Mitchell/Hamline,2016,nr,40570,40470,,GENUINE,missing
Montana,2023,res,12263,19494,,GENUINE,yoy_31%
Montana,2024,res,12080,24161,,GENUINE,
Montana,2025,res,12291,24582,24582,GENUINE,
Northwestern University,2025,nr,79772,79722,79722,GENUINE,res>nonres
Oklahoma,2025,res,18739,18379,18379,GENUINE,
South Carolina,2021,res,18556,9653,,GENUINE,
South Carolina,2021,nr,35342,24661,,GENUINE,
Stanford University,2019,res,62310,20725,,GENUINE,missing
Stanford University,2020,res,63330,21450,,GENUINE,missing
Texas Southern University,2024,res,12645,18582,,GENUINE,yoy_47%
Texas Southern University,2024,nr,20049,25632,,GENUINE,yoy_47%
Willamette University,2020,nr,47130,23265,,GENUINE,res>nonres
Albany Law School,2018,res,47450,23725,,semester x2 (ours annual),
Albany Law School,2018,nr,47450,23725,,semester x2 (ours annual),
Albany Law School,2019,res,49624,24812,,semester x2 (ours annual),
Albany Law School,2019,nr,49624,24812,,semester x2 (ours annual),
Albany Law School,2020,res,52106,26053,,semester x2 (ours annual),
Albany Law School,2020,nr,52106,26053,,semester x2 (ours annual),
American University,2018,res,56724,28362,,semester x2 (ours annual),
American University,2018,nr,56724,28362,,semester x2 (ours annual),
American University,2019,res,56684,28342,,semester x2 (ours annual),
American University,2019,nr,56684,28342,,semester x2 (ours annual),
American University,2020,res,52036,26018,,semester x2 (ours annual),
American University,2020,nr,52036,26018,,semester x2 (ours annual),
Appalachian,2011,nr,29825,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Appalachian,2017,res,31700,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Appalachian,2018,res,35500,17750,,semester x2 (ours annual),
Appalachian,2018,nr,35500,17750,,semester x2 (ours annual),
Appalachian,2019,res,35500,17750,,semester x2 (ours annual),
