year,section,file,ext,bytes,sha256
2021,UNKNOWN,First_Year_Class_2021.xlsx,.xlsx,59380,40947a76878208a18ee1598f25bb29865b5f4b489260c399b92d4fc4c06fb2d7
2021,UNKNOWN,The_Basics_Academic_Calendar_2021.xlsx,.xlsx,18947,8ecb6aa4119654e51cd268ca4a20462731b4ac324135d24063e48901ca1128fc
2021,bar_passage,First_Time_Bar_Passage_2021.xlsx,.xlsx,48182,33e668c0448fc9bf2b08283bbadb5e49716f4242821cd1d8b83cf69c56acfded
2021,bar_passage,TwoYear_Ultimate_Bar_Passage_2021.xlsx,.xlsx,19288,9e518846ca68456ded00ee80cab9985cca5e96aff0e7166017a0ba07f76f6919
2021,employment,Employment_Summary_2021.xlsx,.xlsx,118358,0024fd5d0c864fec8fef2af63c68f283ff4b3a4c4c087a6d9e5084c1447f303a
2021,enrollment,JD_Enrollment_and_Ethnicity_2021.xlsx,.xlsx,159020,451697b4a53e9d8085e5973ab224f6bea5bc01a570c32c34770128cad7e20f36
2021,faculty,Faculty_Resources_2021.xlsx,.xlsx,27582,855438bfeaf167b6276dc59ad84be1c24fe31257ade0ebb13b2cc923260d3b77
2021,grants,Grants_and_Scholarships_2021.xlsx,.xlsx,45542,12b1755633106379db7c093633b0f9cd6abfcbfbb5e618829224544440d710b9
2021,transfers,Transfers_2021.xlsx,.xlsx,14181,46f7a2dba8c6f1347810b419375ad7f54f3b8c19be3036028f1c938da366ae13
2021,tuition,Tuitions_and_Fees_Living_Expenses_Cond._Scholarships_2021.xlsx,.xlsx,35525,8d2e48a7f059f9c77d5924af994416292fd2756a0bc3a4bb3a431bd512703285
2022,UNKNOWN,First_Year_Class_2022.xlsx,.xlsx,50054,67f990a8f2dead6703373ec5d957ad7c26ab91493a38d5913eeab08cebdaa89a
2022,UNKNOWN,The_Basics_Academic_Calendar_2022.xlsx,.xlsx,19002,c78800725517eb9f5f1b2de5b57b23e831bc4f0cc6bc7e03db892576e1b48607
2022,attrition,Attrition_2022.xlsx,.xlsx,275287,903c0e9c2ddb68bdbf57a87955d6dd08611aa482e9f001dba3c81764c562f321
2022,bar_passage,First_Time_Bar_Passage_2022.xlsx,.xlsx,48905,945f7c0718265bc02a65af7d8dba41e83d961ad68c9b31791307d6a2a6779602
2022,bar_passage,TwoYear_Ultimate_Bar_Passage_2022.xlsx,.xlsx,19328,0bd633375f30a47f0eebcec0ab483e062efd75e411b087da53ea9d6fc0d80eda
2022,curriculum,Curricular_Offerings_2022.xlsx,.xlsx,21346,a97f692ec4aed9b2a62fd1599fc58d4b41c0b41748f5ea71e0abbe3d161c85bf
2022,employment,Employment_Summary_2022.xlsx,.xlsx,119601,1d750b9f37373940a0344b52c6fa04ddcd60a4845618aed265edef4cf3f14836
2022,enrollment,JD_Enrollment_and_Ethnicity_2022.xlsx,.xlsx,186825,7f1568dc812cf83e4b198acb307adb38217e115b76a6cb04c4fac6f73680291f
2022,faculty,Faculty_Resources_2022.xlsx,.xlsx,25497,052e94701e38a3633cc1ee882c8473f14b0e6d7a67d77955720f54a7b662450c
2022,grants,Grants_and_Scholarships_2022.xlsx,.xlsx,46164,8ed5479d83bfc03c5db0d204006b14b7dda3232cf0309722413ea253bf221f18
2022,transfers,Transfers_2022.xlsx,.xlsx,14073,9c41b92bb41077fca102ec4e208cd83bf9b3e6ab1f7c2c6c52709b5f225781a1
2022,tuition,Tuitions_and_Fees_Living_Expenses_Cond._Scholarships_2022.xlsx,.xlsx,35294,67a53067cd9de907af3860acaa871ae9a13048f3011e7c45cc33cbbb86cb36dd
2023,UNKNOWN,First_Year_Class_2023.xlsx,.xlsx,45733,edc8de31174bb303e0817ebb58fa1daed7ac0c82ea8dc40fe16c36cb7ac868f0
2023,UNKNOWN,The_Basics_Academic_Calendar_2023.xlsx,.xlsx,19860,1014f4f81afce1a2f65b709ae58285b3d3699cbf55f8bd431852ec64b640a23f
2023,attrition,Attrition_2023.xlsx,.xlsx,270305,b1a95c3a1385fe2da3bc5b6983481d0fac9922034063fdf2ca3f5ea8ae6c3a5d
2023,bar_passage,First_Time_Bar_Passage_2023.xlsx,.xlsx,47143,91d75b876a267587722be90cdeaa3c348bdbf05119e1c2192cb21387c8ed08ea
2023,bar_passage,TwoYear_Ultimate_Bar_Passage_2023.xlsx,.xlsx,18301,5a398e3aa29a0ea78ec7e8191ea882424f2c32e997c33fb5280c7208f6315cdd
2023,curriculum,Curricular_Offerings_2023.xlsx,.xlsx,23087,c8599083454bd7bda33226f46b616257bb98d6e0e28aafa1f81ab6aad92faeeb
2023,employment,Employment_Summary_2023.xlsx,.xlsx,118810,b04e46cd006a1ff4b8829e6b15921a09c61f994e2eea12708390d3efeba286a2
2023,enrollment,JD_Enrollment_and_Ethnicity_2023.xlsx,.xlsx,186168,0ae9c55d05e3e2b2c4f6399b013e367e9e5f87118e50eb9dc90b4c72e6356a64
